File Size,Block Size,Speed,Encryption,Operation,Trial
512,128,11138071.0,LUKS,read,2
512,256,12874162.0,LUKS,read,2
512,512,29906870.0,LUKS,read,2
1024,4,5813392.0,LUKS,read,2
1024,8,7577494.0,LUKS,read,2
1024,16,11249091.0,LUKS,read,2
1024,32,15027577.0,LUKS,read,2
1024,64,8326715.0,LUKS,read,2
1024,128,11936907.0,LUKS,read,2
1024,256,17402221.0,LUKS,read,2
1024,512,13102174.0,LUKS,read,2
1024,1024,16219316.0,LUKS,read,2
2048,4,5785224.0,LUKS,read,2
2048,8,9853037.0,LUKS,read,2
2048,16,8608824.0,LUKS,read,2
2048,32,6990474.0,LUKS,read,2
2048,64,10889797.0,LUKS,read,2
2048,128,11835033.0,LUKS,read,2
2048,256,9944290.0,LUKS,read,2
2048,512,10192069.0,LUKS,read,2
2048,1024,11770166.0,LUKS,read,2
2048,2048,7529708.0,LUKS,read,2
4096,4,6131713.0,LUKS,read,2
4096,8,6955959.0,LUKS,read,2
4096,16,7047267.0,LUKS,read,2
4096,32,6575257.0,LUKS,read,2
4096,64,9019223.0,LUKS,read,2
4096,128,7629374.0,LUKS,read,2
4096,256,9524234.0,LUKS,read,2
4096,512,9503161.0,LUKS,read,2
4096,1024,8426437.0,LUKS,read,2
4096,2048,9353122.0,LUKS,read,2
4096,4096,2196407.0,LUKS,read,2
8192,4,5512724.0,LUKS,read,2
8192,8,6989645.0,LUKS,read,2
8192,16,7961372.0,LUKS,read,2
8192,32,8409538.0,LUKS,read,2
8192,64,9172856.0,LUKS,read,2
8192,128,8688097.0,LUKS,read,2
8192,256,7570215.0,LUKS,read,2
8192,512,8696894.0,LUKS,read,2
8192,1024,6154564.0,LUKS,read,2
8192,2048,7218727.0,LUKS,read,2
8192,4096,8334066.0,LUKS,read,2
8192,8192,2039903.0,LUKS,read,2
16384,4,4241208.0,LUKS,read,2
16384,8,7272051.0,LUKS,read,2
16384,16,3085491.0,LUKS,read,2
16384,32,7440550.0,LUKS,read,2
16384,64,8307675.0,LUKS,read,2
16384,128,7695517.0,LUKS,read,2
16384,256,6875519.0,LUKS,read,2
16384,512,3564139.0,LUKS,read,2
16384,1024,3647374.0,LUKS,read,2
16384,2048,8115381.0,LUKS,read,2
16384,4096,3594527.0,LUKS,read,2
16384,8192,6313339.0,LUKS,read,2
16384,16384,6511962.0,LUKS,read,2
32768,64,8664227.0,LUKS,read,2
32768,128,9109877.0,LUKS,read,2
32768,256,9405377.0,LUKS,read,2
32768,512,9194590.0,LUKS,read,2
32768,1024,5200543.0,LUKS,read,2
32768,2048,8064811.0,LUKS,read,2
32768,4096,7890262.0,LUKS,read,2
32768,8192,6536368.0,LUKS,read,2
32768,16384,6977728.0,LUKS,read,2
65536,64,9295898.0,LUKS,read,2
65536,128,9172440.0,LUKS,read,2
65536,256,10063698.0,LUKS,read,2
65536,512,9407890.0,LUKS,read,2
65536,1024,8490225.0,LUKS,read,2
65536,2048,3541154.0,LUKS,read,2
65536,4096,6231956.0,LUKS,read,2
65536,8192,5242479.0,LUKS,read,2
65536,16384,7079591.0,LUKS,read,2
131072,64,9656052.0,LUKS,read,2
131072,128,8231626.0,LUKS,read,2
131072,256,4980312.0,LUKS,read,2
131072,512,10194670.0,LUKS,read,2
131072,1024,8975633.0,LUKS,read,2
131072,2048,5953487.0,LUKS,read,2
131072,4096,8862197.0,LUKS,read,2
131072,8192,8275241.0,LUKS,read,2
131072,16384,7096479.0,LUKS,read,2
262144,64,10574585.0,LUKS,read,2
262144,128,10950895.0,LUKS,read,2
262144,256,10681838.0,LUKS,read,2
262144,512,10549119.0,LUKS,read,2
262144,1024,8424678.0,LUKS,read,2
262144,2048,8890488.0,LUKS,read,2
262144,4096,8549471.0,LUKS,read,2
262144,8192,8091378.0,LUKS,read,2
262144,16384,7862538.0,LUKS,read,2
524288,64,11363767.0,LUKS,read,2
524288,128,12070620.0,LUKS,read,2
524288,256,12260059.0,LUKS,read,2
524288,512,11351390.0,LUKS,read,2
524288,1024,9486816.0,LUKS,read,2
524288,2048,9370951.0,LUKS,read,2
524288,4096,8761649.0,LUKS,read,2
524288,8192,8907984.0,LUKS,read,2
524288,16384,8177184.0,LUKS,read,2
1048576,64,234537.0,LUKS,read,2
1048576,128,300919.0,LUKS,read,2
1048576,256,321399.0,LUKS,read,2
1048576,512,535555.0,LUKS,read,2
1048576,1024,631657.0,LUKS,read,2
1048576,2048,554953.0,LUKS,read,2
1048576,4096,765667.0,LUKS,read,2
1048576,8192,808389.0,LUKS,read,2
1048576,16384,832811.0,LUKS,read,2
64,4,7100397.0,LUKS,read,3
64,8,10821524.0,LUKS,read,3
64,16,12902017.0,LUKS,read,3
64,32,15972885.0,LUKS,read,3
64,64,55857768.0,LUKS,read,3
128,4,6114306.0,LUKS,read,3
128,8,5847904.0,LUKS,read,3
128,16,9795896.0,LUKS,read,3
128,32,16365173.0,LUKS,read,3
128,64,20804356.0,LUKS,read,3
128,128,60968594.0,LUKS,read,3
256,4,5347168.0,LUKS,read,3
256,8,7314033.0,LUKS,read,3
256,16,8888172.0,LUKS,read,3
256,32,12228612.0,LUKS,read,3
256,64,18259146.0,LUKS,read,3
256,128,18259146.0,LUKS,read,3
256,256,51608070.0,LUKS,read,3
512,4,7334159.0,LUKS,read,3
512,8,7410080.0,LUKS,read,3
512,16,14240069.0,LUKS,read,3
512,32,7871843.0,LUKS,read,3
512,64,7758090.0,LUKS,read,3
512,128,10641343.0,LUKS,read,3
512,256,15037801.0,LUKS,read,3
512,512,34192498.0,LUKS,read,3
1024,4,7472033.0,LUKS,read,3
1024,8,7826025.0,LUKS,read,3
1024,16,11520658.0,LUKS,read,3
1024,32,8542002.0,LUKS,read,3
1024,64,12790037.0,LUKS,read,3
1024,128,11018226.0,LUKS,read,3
1024,256,12828238.0,LUKS,read,3
1024,512,14230902.0,LUKS,read,3
1024,1024,20088179.0,LUKS,read,3
2048,4,6243566.0,LUKS,read,3
2048,8,9308497.0,LUKS,read,3
2048,16,8749118.0,LUKS,read,3
2048,32,6340344.0,LUKS,read,3
2048,64,7262337.0,LUKS,read,3
2048,128,10401883.0,LUKS,read,3
2048,256,12050878.0,LUKS,read,3
2048,512,9708272.0,LUKS,read,3
2048,1024,12786337.0,LUKS,read,3
2048,2048,13058467.0,LUKS,read,3
4096,4,6140479.0,LUKS,read,3
4096,8,8775063.0,LUKS,read,3
4096,16,8865630.0,LUKS,read,3
4096,32,9042961.0,LUKS,read,3
4096,64,9508420.0,LUKS,read,3
4096,128,8209013.0,LUKS,read,3
4096,256,10419583.0,LUKS,read,3
4096,512,9891647.0,LUKS,read,3
4096,1024,9846293.0,LUKS,read,3
4096,2048,7639552.0,LUKS,read,3
4096,4096,9966244.0,LUKS,read,3
8192,4,6354905.0,LUKS,read,3
8192,8,6947247.0,LUKS,read,3
8192,16,7620585.0,LUKS,read,3
8192,32,8992799.0,LUKS,read,3
8192,64,9124139.0,LUKS,read,3
8192,128,9385840.0,LUKS,read,3
8192,256,9728660.0,LUKS,read,3
8192,512,9857043.0,LUKS,read,3
8192,1024,6591409.0,LUKS,read,3
8192,2048,6877717.0,LUKS,read,3
8192,4096,8273861.0,LUKS,read,3
8192,8192,8000301.0,LUKS,read,3
16384,4,6061091.0,LUKS,read,3
16384,8,7973201.0,LUKS,read,3
16384,16,8151964.0,LUKS,read,3
16384,32,9406146.0,LUKS,read,3
16384,64,9923668.0,LUKS,read,3
16384,128,6187150.0,LUKS,read,3
16384,256,10045523.0,LUKS,read,3
16384,512,9966847.0,LUKS,read,3
16384,1024,8581561.0,LUKS,read,3
16384,2048,9183651.0,LUKS,read,3
16384,4096,6593184.0,LUKS,read,3
16384,8192,8668158.0,LUKS,read,3
16384,16384,8368375.0,LUKS,read,3
32768,64,11590589.0,LUKS,read,3
32768,128,11237113.0,LUKS,read,3
32768,256,6005948.0,LUKS,read,3
32768,512,13075967.0,LUKS,read,3
32768,1024,8960212.0,LUKS,read,3
32768,2048,9397017.0,LUKS,read,3
32768,4096,7302889.0,LUKS,read,3
32768,8192,8056774.0,LUKS,read,3
32768,16384,8357082.0,LUKS,read,3
65536,64,12925816.0,LUKS,read,3
65536,128,13295950.0,LUKS,read,3
65536,256,12251751.0,LUKS,read,3
65536,512,13432394.0,LUKS,read,3
65536,1024,9895238.0,LUKS,read,3
65536,2048,9391818.0,LUKS,read,3
65536,4096,7683775.0,LUKS,read,3
65536,8192,8065002.0,LUKS,read,3
65536,16384,7506878.0,LUKS,read,3
131072,64,14524666.0,LUKS,read,3
131072,128,14446422.0,LUKS,read,3
131072,256,13613611.0,LUKS,read,3
131072,512,13339117.0,LUKS,read,3
131072,1024,10705676.0,LUKS,read,3
131072,2048,8436132.0,LUKS,read,3
131072,4096,10213610.0,LUKS,read,3
131072,8192,6292502.0,LUKS,read,3
131072,16384,7284254.0,LUKS,read,3
262144,64,11949939.0,LUKS,read,3
262144,128,12888757.0,LUKS,read,3
262144,256,12832648.0,LUKS,read,3
262144,512,12367708.0,LUKS,read,3
262144,1024,8928897.0,LUKS,read,3
262144,2048,8743366.0,LUKS,read,3
262144,4096,8803854.0,LUKS,read,3
262144,8192,8758898.0,LUKS,read,3
262144,16384,7790064.0,LUKS,read,3
524288,64,2996667.0,LUKS,read,3
524288,128,1185645.0,LUKS,read,3
