	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
64	551422	1105556	1033216	1017549	955947								
128	1349580	1487977	1142750	1852520	2608629	2166499							
256	1241598	2152625	2102055	2458168	2441400	2692393	2747508						
512	1753325	2297251	2587935	2910635	3008498	2845081	2942541	3104171					
1024	1604512	2619192	2987168	3220084	3401130	105145	3324778	3618930	2813041				
2048	1751687	2599225	3219850	2649737	3857514	3683812	2625441	3266376	3555722	2964289			
4096	1777753	2661562	2150223	3504089	3751222	3849566	3693955	3915366	3537277	3641495	535151		
8192	1842562	2114600	3123383	3502234	3909933	4065372	3837016	3308654	3853368	3070628	3533932	2300494	
16384	783888	1445970	3401313	3342256	4110310	3496497	4178541	3732967	3057894	2563604	3354492	3060209	840155
32768	0	0	0	0	2028355	4077120	4077604	1584533	2923623	1623790	1423886	1466581	2541926
65536	0	0	0	0	2827502	2026901	2252178	2242001	2116728	2100311	2622810	2106993	1774174
131072	0	0	0	0	2023029	2022285	2306672	1886933	2203599	2497030	1806744	2042420	2005165
262144	0	0	0	0	1030545	1095676	988610	1020890	973762	1053104	1030667	299740	929275
524288	0	0	0	0	814272	393729	833207	811425	812154	166141	792507	762092	760267
1048576	0	0	0	0	675017	679459	107207	213062	262798	344566	683373	659594	661257
