	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
64	1049372	969761	1518251	842003	1421755								
128	650117	1102844	1436229	1561553	2286447	780556							
256	1471270	2065659	1897721	2665657	2135500	2812272	2588541						
512	1657257	2381315	2739816	2975154	3634839	3064306	3284589	1869318					
1024	1347311	2547723	2744728	2716948	3684119	3808251	3229770	2708381	2646630				
2048	1771922	2506688	3476572	3038742	2752473	3690142	3855782	1712231	3465352	3111386			
4096	1695972	2460310	3003050	3433360	3628421	3589754	637594	4078979	3747131	3527834	2730514		
8192	1337641	2715153	3234221	3594563	4188268	4114541	4095903	3980596	4009863	3459566	1703776	2802633	
16384	765968	2923137	3550145	3908556	3931813	4363195	4314976	4117452	4098054	3564139	1318642	2011529	1059018
32768	0	0	0	0	1536526	4110409	3611605	1552319	3153223	3110688	3800456	2608701	3133311
65536	0	0	0	0	2919208	1944622	2313966	3506104	2924674	1995197	2279993	2617565	1873744
131072	0	0	0	0	2175546	2734548	2254882	2271729	1983533	2021653	1906585	1663201	1446726
262144	0	0	0	0	1292725	1536680	1338138	1471974	60290	191684	1159795	1067917	1202501
524288	0	0	0	0	1132317	1294062	105418	1286804	111936	1250483	207689	1122391	147833
1048576	0	0	0	0	1058242	65309	231327	67615	1030042	197485	1000302	792187	107965
