	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
64	952555	686877	1452528	2467108	2067979								
128	2511022	2175277	2673584	2367096	4135958	1827299							
256	1938842	2975955	4819184	2943325	60208	4009406	5117791						
512	2304647	3905895	5177083	6414119	3877684	4784885	4827914	4610256					
1024	3709575	4654248	6025439	5821271	7160597	5958564	7319232	5660167	5120336				
2048	4423683	4686767	5306340	7042051	7999524	9752360	6303124	4521480	7477273	8159088			
4096	3637640	5263753	7289472	7237268	8340529	7859742	8328399	7161842	5978090	7355007	6379914		
8192	2300494	4447398	6330318	6948652	8358395	7976157	7676771	7474698	7855798	7249187	6429825	5984134	
16384	4147771	4162595	3567099	7656078	7570887	7323979	7758070	4995307	6654475	7731883	3551796	3939251	5904340
32768	0	0	0	0	8498151	6306331	8806347	8582529	7538003	7893888	7665390	5949015	1795512
65536	0	0	0	0	7566806	3152276	7925480	7771321	7431180	6468810	7180567	4890734	6125439
131072	0	0	0	0	6980422	6205773	6612107	5135418	6263324	6072582	4762066	5412431	3940455
262144	0	0	0	0	2118214	1225447	2217688	2366048	52165	185137	2009107	52235	2048591
524288	0	0	0	0	130198	1587803	113976	1626925	116697	1584627	47927	104436	112426
1048576	0	0	0	0	49889	103592	90631	68225	70564	80161	61697	557902	72519
