	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
64	987600	1330167	1363961	763021	1255511								
128	1436229	1710838	962469	1622919	2420455	2098744							
256	1619994	2210228	2114473	2613746	2665657	2812272	2872459						
512	1854787	2471765	2826358	3068685	2275345	3008498	3239989	3158966					
1024	1932227	2455943	2659742	2578312	3877004	3631168	3556008	3304314	3151562				
2048	1573015	2592948	3097921	3043048	4096676	3821475	3931669	3003677	3314266	3165272			
4096	2095155	2745350	2470215	3543113	3677350	4141917	1292126	3614679	3436107	3290024	1106108		
8192	1706315	2766527	3200182	3683582	3893540	3799676	4311780	4114541	3126794	3851208	3071726	2559231	
16384	1794532	2621099	2760172	3593775	3834191	3594527	3992114	3961277	3378737	1273814	3690071	3355311	1786508
32768	0	0	0	0	1556538	4067106	4130048	3889839	4138505	3490707	2674283	1492979	3344029
65536	0	0	0	0	2256671	4008555	2238113	3374316	2228496	2195513	2249303	3510627	1801925
131072	0	0	0	0	1542876	1558451	1936791	1685551	2202672	1999811	3091245	1984314	1849026
262144	0	0	0	0	984781	1043828	1000737	1088127	1008478	1020508	1043770	1113029	950981
524288	0	0	0	0	51064	138059	848837	853390	152523	824777	825169	788208	54519
1048576	0	0	0	0	697310	79223	90772	695042	704481	92201	61320	66489	110827
