	4	8	16	32	64	128	256	512	1024	2048	4096	8192	16384
64	7100397	10821524	12902017	15972885	55857768								
128	6727225	9129573	10567140	15881078	20804356	68779377							
256	6936061	7735574	13454450	10245071	11569783	14164395	43286099						
512	6319739	7211022	8394979	8665997	9814569	13522711	14240069	22183443					
1024	7644933	10662628	8970167	13686709	9485232	9142007	14230902	13472053	18608584				
2048	6649556	7159438	8221561	8574451	9483197	12050878	9349021	13301113	14613561	15262700			
4096	5969780	7639552	6769576	9823772	9373535	11601703	10867793	11672647	9614850	9373535	8077780		
8192	5859631	8419841	10805609	11442544	11956180	10964221	11084481	9582152	10638329	9061576	8543361	8895021	
16384	6584970	7278984	8663787	8295640	8596590	6616672	8568720	8337915	9153070	8441360	8555918	7320078	7827884
32768	0	0	0	0	11994177	10614845	11795506	12686119	10608290	8003756	7783467	9550469	9186601
65536	0	0	0	0	11585120	13008396	13141485	11505593	10073287	9029618	10687817	9375800	7438016
131072	0	0	0	0	11630168	12593536	12250878	13623394	10098787	9376409	10141822	7618271	7602363
262144	0	0	0	0	12689727	12103852	13809524	14122773	9387120	9852801	8253922	8324915	7765636
524288	0	0	0	0	12551444	12604900	12164972	12659687	9605707	7801916	8850690	7536868	7910331
1048576	0	0	0	0	254384	255166	319350	468720	633261	718001	711120	725559	743308
