,File Size,Block Size,Speed
0,64,4,952555.0
1,64,8,686877.0
2,64,16,1452528.0
3,64,32,2467108.0
4,64,64,2067979.0
5,64,128,
6,64,256,
7,64,512,
8,64,1024,
9,64,2048,
10,64,4096,
11,64,8192,
12,64,16384,
13,128,4,2511022.0
14,128,8,2175277.0
15,128,16,2673584.0
16,128,32,2367096.0
17,128,64,4135958.0
18,128,128,1827299.0
19,128,256,
20,128,512,
21,128,1024,
22,128,2048,
23,128,4096,
24,128,8192,
25,128,16384,
26,256,4,1938842.0
27,256,8,2975955.0
28,256,16,4819184.0
29,256,32,2943325.0
30,256,64,60208.0
31,256,128,4009406.0
32,256,256,5117791.0
33,256,512,
34,256,1024,
35,256,2048,
36,256,4096,
37,256,8192,
38,256,16384,
39,512,4,2304647.0
40,512,8,3905895.0
41,512,16,5177083.0
42,512,32,6414119.0
43,512,64,3877684.0
44,512,128,4784885.0
45,512,256,4827914.0
46,512,512,4610256.0
47,512,1024,
48,512,2048,
49,512,4096,
50,512,8192,
51,512,16384,
52,1024,4,3709575.0
53,1024,8,4654248.0
54,1024,16,6025439.0
55,1024,32,5821271.0
56,1024,64,7160597.0
57,1024,128,5958564.0
58,1024,256,7319232.0
59,1024,512,5660167.0
60,1024,1024,5120336.0
61,1024,2048,
62,1024,4096,
63,1024,8192,
64,1024,16384,
65,2048,4,4423683.0
66,2048,8,4686767.0
67,2048,16,5306340.0
68,2048,32,7042051.0
69,2048,64,7999524.0
70,2048,128,9752360.0
71,2048,256,6303124.0
72,2048,512,4521480.0
73,2048,1024,7477273.0
74,2048,2048,8159088.0
75,2048,4096,
76,2048,8192,
77,2048,16384,
78,4096,4,3637640.0
79,4096,8,5263753.0
80,4096,16,7289472.0
81,4096,32,7237268.0
82,4096,64,8340529.0
83,4096,128,7859742.0
84,4096,256,8328399.0
85,4096,512,7161842.0
86,4096,1024,5978090.0
87,4096,2048,7355007.0
88,4096,4096,6379914.0
89,4096,8192,
90,4096,16384,
91,8192,4,2300494.0
92,8192,8,4447398.0
93,8192,16,6330318.0
94,8192,32,6948652.0
95,8192,64,8358395.0
96,8192,128,7976157.0
97,8192,256,7676771.0
98,8192,512,7474698.0
99,8192,1024,7855798.0
100,8192,2048,7249187.0
101,8192,4096,6429825.0
102,8192,8192,5984134.0
103,8192,16384,
104,16384,4,4147771.0
105,16384,8,4162595.0
106,16384,16,3567099.0
107,16384,32,7656078.0
108,16384,64,7570887.0
109,16384,128,7323979.0
110,16384,256,7758070.0
111,16384,512,4995307.0
112,16384,1024,6654475.0
113,16384,2048,7731883.0
114,16384,4096,3551796.0
115,16384,8192,3939251.0
116,16384,16384,5904340.0
117,32768,4,0.0
118,32768,8,0.0
119,32768,16,0.0
120,32768,32,0.0
121,32768,64,8498151.0
122,32768,128,6306331.0
123,32768,256,8806347.0
124,32768,512,8582529.0
125,32768,1024,7538003.0
126,32768,2048,7893888.0
127,32768,4096,7665390.0
128,32768,8192,5949015.0
129,32768,16384,1795512.0
130,65536,4,0.0
131,65536,8,0.0
132,65536,16,0.0
133,65536,32,0.0
134,65536,64,7566806.0
135,65536,128,3152276.0
136,65536,256,7925480.0
137,65536,512,7771321.0
138,65536,1024,7431180.0
139,65536,2048,6468810.0
140,65536,4096,7180567.0
141,65536,8192,4890734.0
142,65536,16384,6125439.0
143,131072,4,0.0
144,131072,8,0.0
145,131072,16,0.0
146,131072,32,0.0
147,131072,64,6980422.0
148,131072,128,6205773.0
149,131072,256,6612107.0
150,131072,512,5135418.0
151,131072,1024,6263324.0
152,131072,2048,6072582.0
153,131072,4096,4762066.0
154,131072,8192,5412431.0
155,131072,16384,3940455.0
156,262144,4,0.0
157,262144,8,0.0
158,262144,16,0.0
159,262144,32,0.0
160,262144,64,2118214.0
161,262144,128,1225447.0
162,262144,256,2217688.0
163,262144,512,2366048.0
164,262144,1024,52165.0
165,262144,2048,185137.0
166,262144,4096,2009107.0
167,262144,8192,52235.0
168,262144,16384,2048591.0
169,524288,4,0.0
170,524288,8,0.0
171,524288,16,0.0
172,524288,32,0.0
173,524288,64,130198.0
174,524288,128,1587803.0
175,524288,256,113976.0
176,524288,512,1626925.0
177,524288,1024,116697.0
178,524288,2048,1584627.0
179,524288,4096,47927.0
180,524288,8192,104436.0
181,524288,16384,112426.0
182,1048576,4,0.0
183,1048576,8,0.0
184,1048576,16,0.0
185,1048576,32,0.0
186,1048576,64,49889.0
187,1048576,128,103592.0
188,1048576,256,90631.0
189,1048576,512,68225.0
190,1048576,1024,70564.0
191,1048576,2048,80161.0
192,1048576,4096,61697.0
193,1048576,8192,557902.0
194,1048576,16384,72519.0
