,File Size,Block Size,Speed
0,64,4,7100397.0
1,64,8,7940539.0
2,64,16,10402178.0
3,64,32,2923952.0
4,64,64,34389688.0
5,64,128,
6,64,256,
7,64,512,
8,64,1024,
9,64,2048,
10,64,4096,
11,64,8192,
12,64,16384,
13,128,4,6727225.0
14,128,8,10567140.0
15,128,16,10779307.0
16,128,32,12842051.0
17,128,64,18637664.0
18,128,128,41924383.0
19,128,256,
20,128,512,
21,128,1024,
22,128,2048,
23,128,4096,
24,128,8192,
25,128,16384,
26,256,4,6398720.0
27,256,8,8271916.0
28,256,16,9868433.0
29,256,32,7735574.0
30,256,64,13454450.0
31,256,128,21134280.0
32,256,256,43286099.0
33,256,512,
34,256,1024,
35,256,2048,
36,256,4096,
37,256,8192,
38,256,16384,
39,512,4,6931711.0
40,512,8,8665997.0
41,512,16,11683444.0
42,512,32,13522711.0
43,512,64,17069844.0
44,512,128,11374040.0
45,512,256,28328790.0
46,512,512,34192498.0
47,512,1024,
48,512,2048,
49,512,4096,
50,512,8192,
51,512,16384,
52,1024,4,7869040.0
53,1024,8,8061038.0
54,1024,16,11903823.0
55,1024,32,10454984.0
56,1024,64,15080341.0
57,1024,128,13643232.0
58,1024,256,16531459.0
59,1024,512,23754601.0
60,1024,1024,21388672.0
61,1024,2048,
62,1024,4096,
63,1024,8192,
64,1024,16384,
65,2048,4,6114678.0
66,2048,8,9024882.0
67,2048,16,10889797.0
68,2048,32,14040298.0
69,2048,64,5433896.0
70,2048,128,12204980.0
71,2048,256,9140117.0
72,2048,512,12882215.0
73,2048,1024,9268323.0
74,2048,2048,9808036.0
75,2048,4096,
76,2048,8192,
77,2048,16384,
78,4096,4,7209932.0
79,4096,8,8224733.0
80,4096,16,11106675.0
81,4096,32,11539362.0
82,4096,64,11193514.0
83,4096,128,9440496.0
84,4096,256,12919082.0
85,4096,512,14118827.0
86,4096,1024,11042425.0
87,4096,2048,12308209.0
88,4096,4096,310679.0
89,4096,8192,
90,4096,16384,
91,8192,4,6638529.0
92,8192,8,8622688.0
93,8192,16,10651521.0
94,8192,32,10368664.0
95,8192,64,11251448.0
96,8192,128,11703682.0
97,8192,256,12189466.0
98,8192,512,11009893.0
99,8192,1024,10202411.0
100,8192,2048,9893942.0
101,8192,4096,7074554.0
102,8192,8192,9939736.0
103,8192,16384,
104,16384,4,6084166.0
105,16384,8,8752060.0
106,16384,16,10958635.0
107,16384,32,9168947.0
108,16384,64,11635919.0
109,16384,128,12458647.0
110,16384,256,12700414.0
111,16384,512,12488079.0
112,16384,1024,8596590.0
113,16384,2048,9935146.0
114,16384,4096,9081702.0
115,16384,8192,9799141.0
116,16384,16384,9087707.0
117,32768,4,0.0
118,32768,8,0.0
119,32768,16,0.0
120,32768,32,0.0
121,32768,64,7462692.0
122,32768,128,12740214.0
123,32768,256,12681437.0
124,32768,512,12940539.0
125,32768,1024,10796626.0
126,32768,2048,9165770.0
127,32768,4096,8526621.0
128,32768,8192,9887832.0
129,32768,16384,9298475.0
130,65536,4,0.0
131,65536,8,0.0
132,65536,16,0.0
133,65536,32,0.0
134,65536,64,11680129.0
135,65536,128,12071505.0
136,65536,256,12190353.0
137,65536,512,11318459.0
138,65536,1024,9554720.0
139,65536,2048,9128879.0
140,65536,4096,9633412.0
141,65536,8192,10003997.0
142,65536,16384,7332266.0
143,131072,4,0.0
144,131072,8,0.0
145,131072,16,0.0
146,131072,32,0.0
147,131072,64,13127930.0
148,131072,128,12651790.0
149,131072,256,13417250.0
150,131072,512,13875782.0
151,131072,1024,9615855.0
152,131072,2048,7875502.0
153,131072,4096,8213548.0
154,131072,8192,8862768.0
155,131072,16384,7127670.0
156,262144,4,0.0
157,262144,8,0.0
158,262144,16,0.0
159,262144,32,0.0
160,262144,64,11611108.0
161,262144,128,12035487.0
162,262144,256,12957564.0
163,262144,512,12394476.0
164,262144,1024,9272569.0
165,262144,2048,9160092.0
166,262144,4096,8439357.0
167,262144,8192,8551998.0
168,262144,16384,7511104.0
169,524288,4,0.0
170,524288,8,0.0
171,524288,16,0.0
172,524288,32,0.0
173,524288,64,11922391.0
174,524288,128,13097703.0
175,524288,256,13526556.0
176,524288,512,12615530.0
177,524288,1024,9080463.0
178,524288,2048,9506255.0
179,524288,4096,8148852.0
180,524288,8192,7999508.0
181,524288,16384,8174874.0
182,1048576,4,0.0
183,1048576,8,0.0
184,1048576,16,0.0
185,1048576,32,0.0
186,1048576,64,11854898.0
187,1048576,128,11346992.0
188,1048576,256,711272.0
189,1048576,512,11495011.0
190,1048576,1024,4822103.0
191,1048576,2048,4606409.0
192,1048576,4096,4682669.0
193,1048576,8192,4049118.0
194,1048576,16384,1448663.0
