,File Size,Block Size,Speed
0,64,4,7293312.0
1,64,8,15972885.0
2,64,16,9318832.0
3,64,32,22737791.0
4,64,64,64000000.0
5,64,128,
6,64,256,
7,64,512,
8,64,1024,
9,64,2048,
10,64,4096,
11,64,8192,
12,64,16384,
13,128,4,7082197.0
14,128,8,15881078.0
15,128,16,21643049.0
16,128,32,15881078.0
17,128,64,25804035.0
18,128,128,45475583.0
19,128,256,
20,128,512,
21,128,1024,
22,128,2048,
23,128,4096,
24,128,8192,
25,128,16384,
26,256,4,9114515.0
27,256,8,7735574.0
28,256,16,10245071.0
29,256,32,16072608.0
30,256,64,19591792.0
31,256,128,23441229.0
32,256,256,49241346.0
33,256,512,
34,256,1024,
35,256,2048,
36,256,4096,
37,256,8192,
38,256,16384,
39,512,4,9681823.0
40,512,8,13438092.0
41,512,16,9145790.0
42,512,32,18385093.0
43,512,64,21303197.0
44,512,128,20490142.0
45,512,256,15583417.0
46,512,512,31671139.0
47,512,1024,
48,512,2048,
49,512,4096,
50,512,8192,
51,512,16384,
52,1024,4,6776473.0
53,1024,8,8822754.0
54,1024,16,12944224.0
55,1024,32,11903823.0
56,1024,64,11018226.0
57,1024,128,13142265.0
58,1024,256,19276739.0
59,1024,512,17331995.0
60,1024,1024,14470636.0
61,1024,2048,
62,1024,4096,
63,1024,8192,
64,1024,16384,
65,2048,4,6780783.0
66,2048,8,8830061.0
67,2048,16,9024882.0
68,2048,32,9024882.0
69,2048,64,12118884.0
70,2048,128,10490809.0
71,2048,256,12729493.0
72,2048,512,13384011.0
73,2048,1024,11129659.0
74,2048,2048,11642543.0
75,2048,4096,
76,2048,8192,
77,2048,16384,
78,4096,4,6659365.0
79,4096,8,8712759.0
80,4096,16,10425907.0
81,4096,32,10916131.0
82,4096,64,12299398.0
83,4096,128,13790167.0
84,4096,256,14165392.0
85,4096,512,12450933.0
86,4096,1024,12007129.0
87,4096,2048,13508249.0
88,4096,4096,13166611.0
89,4096,8192,
90,4096,16384,
91,8192,4,6838023.0
92,8192,8,8943642.0
93,8192,16,10721317.0
94,8192,32,10291026.0
95,8192,64,11329356.0
96,8192,128,12031539.0
97,8192,256,10112331.0
98,8192,512,10463389.0
99,8192,1024,10050216.0
100,8192,2048,10266427.0
101,8192,4096,9393538.0
102,8192,8192,9414128.0
103,8192,16384,
104,16384,4,5897753.0
105,16384,8,8030973.0
106,16384,16,10530420.0
107,16384,32,7750195.0
108,16384,64,7949221.0
109,16384,128,11221694.0
110,16384,256,10880555.0
111,16384,512,10851347.0
112,16384,1024,8574066.0
113,16384,2048,7670606.0
114,16384,4096,7798569.0
115,16384,8192,9346021.0
116,16384,16384,8501933.0
117,32768,4,0.0
118,32768,8,0.0
119,32768,16,0.0
120,32768,32,0.0
121,32768,64,10839200.0
122,32768,128,10141744.0
123,32768,256,11385119.0
124,32768,512,10690808.0
125,32768,1024,8489228.0
126,32768,2048,9314229.0
127,32768,4096,9232886.0
128,32768,8192,8918928.0
129,32768,16384,5771155.0
130,65536,4,0.0
131,65536,8,0.0
132,65536,16,0.0
133,65536,32,0.0
134,65536,64,7980474.0
135,65536,128,11671203.0
136,65536,256,6319205.0
137,65536,512,8727721.0
138,65536,1024,7603645.0
139,65536,2048,6789823.0
140,65536,4096,7462450.0
141,65536,8192,8533452.0
142,65536,16384,6258204.0
143,131072,4,0.0
144,131072,8,0.0
145,131072,16,0.0
146,131072,32,0.0
147,131072,64,11478401.0
148,131072,128,9849817.0
149,131072,256,10892766.0
150,131072,512,9980352.0
151,131072,1024,8350661.0
152,131072,2048,9218707.0
153,131072,4096,7578155.0
154,131072,8192,6712377.0
155,131072,16384,8274245.0
156,262144,4,0.0
157,262144,8,0.0
158,262144,16,0.0
159,262144,32,0.0
160,262144,64,11007466.0
161,262144,128,13354315.0
162,262144,256,11359083.0
163,262144,512,9665712.0
164,262144,1024,8953327.0
165,262144,2048,9280395.0
166,262144,4096,7625129.0
167,262144,8192,8209427.0
168,262144,16384,7067414.0
169,524288,4,0.0
170,524288,8,0.0
171,524288,16,0.0
172,524288,32,0.0
173,524288,64,11299827.0
174,524288,128,11342081.0
175,524288,256,11234707.0
176,524288,512,11228913.0
177,524288,1024,8828163.0
178,524288,2048,8768251.0
179,524288,4096,7651150.0
180,524288,8192,8007110.0
181,524288,16384,7317642.0
182,1048576,4,0.0
183,1048576,8,0.0
184,1048576,16,0.0
185,1048576,32,0.0
186,1048576,64,11574086.0
187,1048576,128,11578017.0
188,1048576,256,11735734.0
189,1048576,512,11481417.0
190,1048576,1024,8877055.0
191,1048576,2048,8617490.0
192,1048576,4096,8515741.0
193,1048576,8192,7733783.0
194,1048576,16384,7413369.0
