,File Size,Block Size,Speed
0,64,4,983980.0
1,64,8,1049372.0
2,64,16,633392.0
3,64,32,10110.0
4,64,64,477808.0
5,64,128,
6,64,256,
7,64,512,
8,64,1024,
9,64,2048,
10,64,4096,
11,64,8192,
12,64,16384,
13,128,4,927549.0
14,128,8,1451764.0
15,128,16,1391557.0
16,128,32,59986.0
17,128,64,1727352.0
18,128,128,1521718.0
19,128,256,
20,128,512,
21,128,1024,
22,128,2048,
23,128,4096,
24,128,8192,
25,128,16384,
26,256,4,1158540.0
27,256,8,1814348.0
28,256,16,2607399.0
29,256,32,2872459.0
30,256,64,865358.0
31,256,128,2266207.0
32,256,256,2413957.0
33,256,512,
34,256,1024,
35,256,2048,
36,256,4096,
37,256,8192,
38,256,16384,
39,512,4,922535.0
40,512,8,2275345.0
41,512,16,643960.0
42,512,32,2958758.0
43,512,64,1861217.0
44,512,128,927315.0
45,512,256,3510074.0
46,512,512,1337324.0
47,512,1024,
48,512,2048,
49,512,4096,
50,512,8192,
51,512,16384,
52,1024,4,1506051.0
53,1024,8,1995982.0
54,1024,16,2934110.0
55,1024,32,2910252.0
56,1024,64,2598591.0
57,1024,128,3529706.0
58,1024,256,2111788.0
59,1024,512,3603747.0
60,1024,1024,1189146.0
61,1024,2048,
62,1024,4096,
63,1024,8192,
64,1024,16384,
65,2048,4,1642181.0
66,2048,8,2185842.0
67,2048,16,2642401.0
68,2048,32,3070239.0
69,2048,64,3792790.0
70,2048,128,1706449.0
71,2048,256,4056054.0
72,2048,512,706943.0
73,2048,1024,3402216.0
74,2048,2048,1930406.0
75,2048,4096,
76,2048,8192,
77,2048,16384,
78,4096,4,1507031.0
79,4096,8,2340643.0
80,4096,16,717328.0
81,4096,32,3567392.0
82,4096,64,3421735.0
83,4096,128,3598778.0
84,4096,256,2418063.0
85,4096,512,4067390.0
86,4096,1024,1140624.0
87,4096,2048,2399488.0
88,4096,4096,336097.0
89,4096,8192,
90,4096,16384,
91,8192,4,1718089.0
92,8192,8,2190359.0
93,8192,16,1765223.0
94,8192,32,2658022.0
95,8192,64,3813593.0
96,8192,128,3241544.0
97,8192,256,4246763.0
98,8192,512,3899284.0
99,8192,1024,1607262.0
100,8192,2048,3957216.0
101,8192,4096,2826611.0
102,8192,8192,1247457.0
103,8192,16384,
104,16384,4,1436689.0
105,16384,8,2598993.0
106,16384,16,2497545.0
107,16384,32,3086600.0
108,16384,64,2920032.0
109,16384,128,4230243.0
110,16384,256,3444100.0
111,16384,512,932917.0
112,16384,1024,1202844.0
113,16384,2048,3220097.0
114,16384,4096,1295376.0
115,16384,8192,1875899.0
116,16384,16384,791199.0
117,32768,4,0.0
118,32768,8,0.0
119,32768,16,0.0
120,32768,32,0.0
121,32768,64,1841313.0
122,32768,128,4083783.0
123,32768,256,2669038.0
124,32768,512,3553248.0
125,32768,1024,1506579.0
126,32768,2048,1502002.0
127,32768,4096,3345005.0
128,32768,8192,2269249.0
129,32768,16384,1527425.0
130,65536,4,0.0
131,65536,8,0.0
132,65536,16,0.0
133,65536,32,0.0
134,65536,64,1786652.0
135,65536,128,2308350.0
136,65536,256,2574587.0
137,65536,512,2139813.0
138,65536,1024,1910230.0
139,65536,2048,1826275.0
140,65536,4096,2201633.0
141,65536,8192,1521261.0
142,65536,16384,1756668.0
143,131072,4,0.0
144,131072,8,0.0
145,131072,16,0.0
146,131072,32,0.0
147,131072,64,1578063.0
148,131072,128,1808616.0
149,131072,256,2195363.0
150,131072,512,1742309.0
151,131072,1024,1578153.0
152,131072,2048,2209089.0
153,131072,4096,1726019.0
154,131072,8192,1722795.0
155,131072,16384,1685577.0
156,262144,4,0.0
157,262144,8,0.0
158,262144,16,0.0
159,262144,32,0.0
160,262144,64,1029950.0
161,262144,128,909205.0
162,262144,256,1159611.0
163,262144,512,1084184.0
164,262144,1024,998635.0
165,262144,2048,1074268.0
166,262144,4096,413872.0
167,262144,8192,993560.0
168,262144,16384,993895.0
169,524288,4,0.0
170,524288,8,0.0
171,524288,16,0.0
172,524288,32,0.0
173,524288,64,803448.0
174,524288,128,204346.0
175,524288,256,849138.0
176,524288,512,819585.0
177,524288,1024,48304.0
178,524288,2048,817794.0
179,524288,4096,754704.0
180,524288,8192,512722.0
181,524288,16384,47594.0
182,1048576,4,0.0
183,1048576,8,0.0
184,1048576,16,0.0
185,1048576,32,0.0
186,1048576,64,691655.0
187,1048576,128,66325.0
188,1048576,256,63401.0
189,1048576,512,700226.0
190,1048576,1024,708581.0
191,1048576,2048,146657.0
192,1048576,4096,223280.0
193,1048576,8192,680932.0
194,1048576,16384,451489.0
