,File Size,Block Size,Speed
0,64,4,7100397.0
1,64,8,7100397.0
2,64,16,7940539.0
3,64,32,9318832.0
4,64,64,64000000.0
5,64,128,
6,64,256,
7,64,512,
8,64,1024,
9,64,2048,
10,64,4096,
11,64,8192,
12,64,16384,
13,128,4,6114306.0
14,128,8,12842051.0
15,128,16,8036304.0
16,128,32,12842051.0
17,128,64,18012359.0
18,128,128,41924383.0
19,128,256,
20,128,512,
21,128,1024,
22,128,2048,
23,128,4096,
24,128,8192,
25,128,16384,
26,256,4,6398720.0
27,256,8,10245071.0
28,256,16,9114515.0
29,256,32,6936061.0
30,256,64,10651598.0
31,256,128,17096249.0
32,256,256,51608070.0
33,256,512,
34,256,1024,
35,256,2048,
36,256,4096,
37,256,8192,
38,256,16384,
39,512,4,6246213.0
40,512,8,10434519.0
41,512,16,10044089.0
42,512,32,16417355.0
43,512,64,6246213.0
44,512,128,11138071.0
45,512,256,12874162.0
46,512,512,29906870.0
47,512,1024,
48,512,2048,
49,512,4096,
50,512,8192,
51,512,16384,
52,1024,4,5813392.0
53,1024,8,7577494.0
54,1024,16,11249091.0
55,1024,32,15027577.0
56,1024,64,8326715.0
57,1024,128,11936907.0
58,1024,256,17402221.0
59,1024,512,13102174.0
60,1024,1024,16219316.0
61,1024,2048,
62,1024,4096,
63,1024,8192,
64,1024,16384,
65,2048,4,5785224.0
66,2048,8,9853037.0
67,2048,16,8608824.0
68,2048,32,6990474.0
69,2048,64,10889797.0
70,2048,128,11835033.0
71,2048,256,9944290.0
72,2048,512,10192069.0
73,2048,1024,11770166.0
74,2048,2048,7529708.0
75,2048,4096,
76,2048,8192,
77,2048,16384,
78,4096,4,6131713.0
79,4096,8,6955959.0
80,4096,16,7047267.0
81,4096,32,6575257.0
82,4096,64,9019223.0
83,4096,128,7629374.0
84,4096,256,9524234.0
85,4096,512,9503161.0
86,4096,1024,8426437.0
87,4096,2048,9353122.0
88,4096,4096,2196407.0
89,4096,8192,
90,4096,16384,
91,8192,4,5512724.0
92,8192,8,6989645.0
93,8192,16,7961372.0
94,8192,32,8409538.0
95,8192,64,9172856.0
96,8192,128,8688097.0
97,8192,256,7570215.0
98,8192,512,8696894.0
99,8192,1024,6154564.0
100,8192,2048,7218727.0
101,8192,4096,8334066.0
102,8192,8192,2039903.0
103,8192,16384,
104,16384,4,4241208.0
105,16384,8,7272051.0
106,16384,16,3085491.0
107,16384,32,7440550.0
108,16384,64,8307675.0
109,16384,128,7695517.0
110,16384,256,6875519.0
111,16384,512,3564139.0
112,16384,1024,3647374.0
113,16384,2048,8115381.0
114,16384,4096,3594527.0
115,16384,8192,6313339.0
116,16384,16384,6511962.0
117,32768,4,0.0
118,32768,8,0.0
119,32768,16,0.0
120,32768,32,0.0
121,32768,64,8664227.0
122,32768,128,9109877.0
123,32768,256,9405377.0
124,32768,512,9194590.0
125,32768,1024,5200543.0
126,32768,2048,8064811.0
127,32768,4096,7890262.0
128,32768,8192,6536368.0
129,32768,16384,6977728.0
130,65536,4,0.0
131,65536,8,0.0
132,65536,16,0.0
133,65536,32,0.0
134,65536,64,9295898.0
135,65536,128,9172440.0
136,65536,256,10063698.0
137,65536,512,9407890.0
138,65536,1024,8490225.0
139,65536,2048,3541154.0
140,65536,4096,6231956.0
141,65536,8192,5242479.0
142,65536,16384,7079591.0
143,131072,4,0.0
144,131072,8,0.0
145,131072,16,0.0
146,131072,32,0.0
147,131072,64,9656052.0
148,131072,128,8231626.0
149,131072,256,4980312.0
150,131072,512,10194670.0
151,131072,1024,8975633.0
152,131072,2048,5953487.0
153,131072,4096,8862197.0
154,131072,8192,8275241.0
155,131072,16384,7096479.0
156,262144,4,0.0
157,262144,8,0.0
158,262144,16,0.0
159,262144,32,0.0
160,262144,64,10574585.0
161,262144,128,10950895.0
162,262144,256,10681838.0
163,262144,512,10549119.0
164,262144,1024,8424678.0
165,262144,2048,8890488.0
166,262144,4096,8549471.0
167,262144,8192,8091378.0
168,262144,16384,7862538.0
169,524288,4,0.0
170,524288,8,0.0
171,524288,16,0.0
172,524288,32,0.0
173,524288,64,11363767.0
174,524288,128,12070620.0
175,524288,256,12260059.0
176,524288,512,11351390.0
177,524288,1024,9486816.0
178,524288,2048,9370951.0
179,524288,4096,8761649.0
180,524288,8192,8907984.0
181,524288,16384,8177184.0
182,1048576,4,0.0
183,1048576,8,0.0
184,1048576,16,0.0
185,1048576,32,0.0
186,1048576,64,234537.0
187,1048576,128,300919.0
188,1048576,256,321399.0
189,1048576,512,535555.0
190,1048576,1024,631657.0
191,1048576,2048,554953.0
192,1048576,4096,765667.0
193,1048576,8192,808389.0
194,1048576,16384,832811.0
