,File Size,Block Size,Speed
0,64,4,1049372.0
1,64,8,969761.0
2,64,16,1518251.0
3,64,32,842003.0
4,64,64,1421755.0
5,64,128,
6,64,256,
7,64,512,
8,64,1024,
9,64,2048,
10,64,4096,
11,64,8192,
12,64,16384,
13,128,4,650117.0
14,128,8,1102844.0
15,128,16,1436229.0
16,128,32,1561553.0
17,128,64,2286447.0
18,128,128,780556.0
19,128,256,
20,128,512,
21,128,1024,
22,128,2048,
23,128,4096,
24,128,8192,
25,128,16384,
26,256,4,1471270.0
27,256,8,2065659.0
28,256,16,1897721.0
29,256,32,2665657.0
30,256,64,2135500.0
31,256,128,2812272.0
32,256,256,2588541.0
33,256,512,
34,256,1024,
35,256,2048,
36,256,4096,
37,256,8192,
38,256,16384,
39,512,4,1657257.0
40,512,8,2381315.0
41,512,16,2739816.0
42,512,32,2975154.0
43,512,64,3634839.0
44,512,128,3064306.0
45,512,256,3284589.0
46,512,512,1869318.0
47,512,1024,
48,512,2048,
49,512,4096,
50,512,8192,
51,512,16384,
52,1024,4,1347311.0
53,1024,8,2547723.0
54,1024,16,2744728.0
55,1024,32,2716948.0
56,1024,64,3684119.0
57,1024,128,3808251.0
58,1024,256,3229770.0
59,1024,512,2708381.0
60,1024,1024,2646630.0
61,1024,2048,
62,1024,4096,
63,1024,8192,
64,1024,16384,
65,2048,4,1771922.0
66,2048,8,2506688.0
67,2048,16,3476572.0
68,2048,32,3038742.0
69,2048,64,2752473.0
70,2048,128,3690142.0
71,2048,256,3855782.0
72,2048,512,1712231.0
73,2048,1024,3465352.0
74,2048,2048,3111386.0
75,2048,4096,
76,2048,8192,
77,2048,16384,
78,4096,4,1695972.0
79,4096,8,2460310.0
80,4096,16,3003050.0
81,4096,32,3433360.0
82,4096,64,3628421.0
83,4096,128,3589754.0
84,4096,256,637594.0
85,4096,512,4078979.0
86,4096,1024,3747131.0
87,4096,2048,3527834.0
88,4096,4096,2730514.0
89,4096,8192,
90,4096,16384,
91,8192,4,1337641.0
92,8192,8,2715153.0
93,8192,16,3234221.0
94,8192,32,3594563.0
95,8192,64,4188268.0
96,8192,128,4114541.0
97,8192,256,4095903.0
98,8192,512,3980596.0
99,8192,1024,4009863.0
100,8192,2048,3459566.0
101,8192,4096,1703776.0
102,8192,8192,2802633.0
103,8192,16384,
104,16384,4,765968.0
105,16384,8,2923137.0
106,16384,16,3550145.0
107,16384,32,3908556.0
108,16384,64,3931813.0
109,16384,128,4363195.0
110,16384,256,4314976.0
111,16384,512,4117452.0
112,16384,1024,4098054.0
113,16384,2048,3564139.0
114,16384,4096,1318642.0
115,16384,8192,2011529.0
116,16384,16384,1059018.0
117,32768,4,0.0
118,32768,8,0.0
119,32768,16,0.0
120,32768,32,0.0
121,32768,64,1536526.0
122,32768,128,4110409.0
123,32768,256,3611605.0
124,32768,512,1552319.0
125,32768,1024,3153223.0
126,32768,2048,3110688.0
127,32768,4096,3800456.0
128,32768,8192,2608701.0
129,32768,16384,3133311.0
130,65536,4,0.0
131,65536,8,0.0
132,65536,16,0.0
133,65536,32,0.0
134,65536,64,2919208.0
135,65536,128,1944622.0
136,65536,256,2313966.0
137,65536,512,3506104.0
138,65536,1024,2924674.0
139,65536,2048,1995197.0
140,65536,4096,2279993.0
141,65536,8192,2617565.0
142,65536,16384,1873744.0
143,131072,4,0.0
144,131072,8,0.0
145,131072,16,0.0
146,131072,32,0.0
147,131072,64,2175546.0
148,131072,128,2734548.0
149,131072,256,2254882.0
150,131072,512,2271729.0
151,131072,1024,1983533.0
152,131072,2048,2021653.0
153,131072,4096,1906585.0
154,131072,8192,1663201.0
155,131072,16384,1446726.0
156,262144,4,0.0
157,262144,8,0.0
158,262144,16,0.0
159,262144,32,0.0
160,262144,64,1292725.0
161,262144,128,1536680.0
162,262144,256,1338138.0
163,262144,512,1471974.0
164,262144,1024,60290.0
165,262144,2048,191684.0
166,262144,4096,1159795.0
167,262144,8192,1067917.0
168,262144,16384,1202501.0
169,524288,4,0.0
170,524288,8,0.0
171,524288,16,0.0
172,524288,32,0.0
173,524288,64,1132317.0
174,524288,128,1294062.0
175,524288,256,105418.0
176,524288,512,1286804.0
177,524288,1024,111936.0
178,524288,2048,1250483.0
179,524288,4096,207689.0
180,524288,8192,1122391.0
181,524288,16384,147833.0
182,1048576,4,0.0
183,1048576,8,0.0
184,1048576,16,0.0
185,1048576,32,0.0
186,1048576,64,1058242.0
187,1048576,128,65309.0
188,1048576,256,231327.0
189,1048576,512,67615.0
190,1048576,1024,1030042.0
191,1048576,2048,197485.0
192,1048576,4096,1000302.0
193,1048576,8192,792187.0
194,1048576,16384,107965.0
