,File Size,Block Size,Speed
0,64,4,913649.0
1,64,8,1285575.0
2,64,16,444572.0
3,64,32,1330167.0
4,64,64,1143223.0
5,64,128,
6,64,256,
7,64,512,
8,64,1024,
9,64,2048,
10,64,4096,
11,64,8192,
12,64,16384,
13,128,4,876086.0
14,128,8,1421023.0
15,128,16,1306873.0
16,128,32,1065630.0
17,128,64,1663139.0
18,128,128,1346196.0
19,128,256,
20,128,512,
21,128,1024,
22,128,2048,
23,128,4096,
24,128,8192,
25,128,16384,
26,256,4,1561112.0
27,256,8,2000242.0
28,256,16,2285501.0
29,256,32,2435861.0
30,256,64,1894373.0
31,256,128,2509882.0
32,256,256,2030503.0
33,256,512,
34,256,1024,
35,256,2048,
36,256,4096,
37,256,8192,
38,256,16384,
39,512,4,1336492.0
40,512,8,2189509.0
41,512,16,1764853.0
42,512,32,3196584.0
43,512,64,3220553.0
44,512,128,3510074.0
45,512,256,3504346.0
46,512,512,1640796.0
47,512,1024,
48,512,2048,
49,512,4096,
50,512,8192,
51,512,16384,
52,1024,4,1497127.0
53,1024,8,2343383.0
54,1024,16,2944166.0
55,1024,32,3314514.0
56,1024,64,3631168.0
57,1024,128,3553066.0
58,1024,256,3121783.0
59,1024,512,3377062.0
60,1024,1024,2311849.0
61,1024,2048,
62,1024,4096,
63,1024,8192,
64,1024,16384,
65,2048,4,1713940.0
66,2048,8,2676988.0
67,2048,16,3084572.0
68,2048,32,3225896.0
69,2048,64,3396834.0
70,2048,128,3779440.0
71,2048,256,3500658.0
72,2048,512,2560486.0
73,2048,1024,3384788.0
74,2048,2048,2836079.0
75,2048,4096,
76,2048,8192,
77,2048,16384,
78,4096,4,1888560.0
79,4096,8,2694963.0
80,4096,16,3287506.0
81,4096,32,3489144.0
82,4096,64,3192806.0
83,4096,128,3217923.0
84,4096,256,3733288.0
85,4096,512,3856480.0
86,4096,1024,3537277.0
87,4096,2048,2607037.0
88,4096,4096,2369047.0
89,4096,8192,
90,4096,16384,
91,8192,4,1761694.0
92,8192,8,2801490.0
93,8192,16,3343751.0
94,8192,32,3423373.0
95,8192,64,3915726.0
96,8192,128,4019714.0
97,8192,256,3726731.0
98,8192,512,3667070.0
99,8192,1024,3489075.0
100,8192,2048,2245029.0
101,8192,4096,883538.0
102,8192,8192,756909.0
103,8192,16384,
104,16384,4,1213807.0
105,16384,8,753628.0
106,16384,16,3175311.0
107,16384,32,1384613.0
108,16384,64,3930014.0
109,16384,128,3966078.0
110,16384,256,3376081.0
111,16384,512,3757050.0
112,16384,1024,3271607.0
113,16384,2048,1851538.0
114,16384,4096,1996567.0
115,16384,8192,3088403.0
116,16384,16384,1130239.0
117,32768,4,0.0
118,32768,8,0.0
119,32768,16,0.0
120,32768,32,0.0
121,32768,64,3274554.0
122,32768,128,2409949.0
123,32768,256,2521177.0
124,32768,512,3766915.0
125,32768,1024,3520392.0
126,32768,2048,2139034.0
127,32768,4096,1512848.0
128,32768,8192,3400539.0
129,32768,16384,3229313.0
130,65536,4,0.0
131,65536,8,0.0
132,65536,16,0.0
133,65536,32,0.0
134,65536,64,1927468.0
135,65536,128,2347100.0
136,65536,256,2271759.0
137,65536,512,2103606.0
138,65536,1024,2690428.0
139,65536,2048,2001881.0
140,65536,4096,1983120.0
141,65536,8192,1890068.0
142,65536,16384,1595902.0
143,131072,4,0.0
144,131072,8,0.0
145,131072,16,0.0
146,131072,32,0.0
147,131072,64,1511265.0
148,131072,128,2169031.0
149,131072,256,1332599.0
150,131072,512,1908835.0
151,131072,1024,1878063.0
152,131072,2048,1455998.0
153,131072,4096,2105264.0
154,131072,8192,1837107.0
155,131072,16384,1446821.0
156,262144,4,0.0
157,262144,8,0.0
158,262144,16,0.0
159,262144,32,0.0
160,262144,64,1090095.0
161,262144,128,1172950.0
162,262144,256,760516.0
163,262144,512,1039239.0
164,262144,1024,1128786.0
165,262144,2048,1167850.0
166,262144,4096,1030497.0
167,262144,8192,1026976.0
168,262144,16384,289589.0
169,524288,4,0.0
170,524288,8,0.0
171,524288,16,0.0
172,524288,32,0.0
173,524288,64,753670.0
174,524288,128,878856.0
175,524288,256,180998.0
176,524288,512,613958.0
177,524288,1024,866093.0
178,524288,2048,49841.0
179,524288,4096,180448.0
180,524288,8192,153024.0
181,524288,16384,789774.0
182,1048576,4,0.0
183,1048576,8,0.0
184,1048576,16,0.0
185,1048576,32,0.0
186,1048576,64,293155.0
187,1048576,128,377589.0
188,1048576,256,602002.0
189,1048576,512,724560.0
190,1048576,1024,59929.0
191,1048576,2048,88913.0
192,1048576,4096,700845.0
193,1048576,8192,59602.0
194,1048576,16384,60851.0
