,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,7293312,15972885,9318832,22737791,64000000,,,,,,,,
128,7082197,15881078,21643049,15881078,25804035,45475583,,,,,,,
256,9114515,7735574,10245071,16072608,19591792,23441229,49241346,,,,,,
512,9681823,13438092,9145790,18385093,21303197,20490142,15583417,31671139,,,,,
1024,6776473,8822754,12944224,11903823,11018226,13142265,19276739,17331995,14470636,,,,
2048,6780783,8830061,9024882,9024882,12118884,10490809,12729493,13384011,11129659,11642543,,,
4096,6659365,8712759,10425907,10916131,12299398,13790167,14165392,12450933,12007129,13508249,13166611,,
8192,6838023,8943642,10721317,10291026,11329356,12031539,10112331,10463389,10050216,10266427,9393538,9414128,
16384,5897753,8030973,10530420,7750195,7949221,11221694,10880555,10851347,8574066,7670606,7798569,9346021,8501933
32768,0,0,0,0,10839200,10141744,11385119,10690808,8489228,9314229,9232886,8918928,5771155
65536,0,0,0,0,7980474,11671203,6319205,8727721,7603645,6789823,7462450,8533452,6258204
131072,0,0,0,0,11478401,9849817,10892766,9980352,8350661,9218707,7578155,6712377,8274245
262144,0,0,0,0,11007466,13354315,11359083,9665712,8953327,9280395,7625129,8209427,7067414
524288,0,0,0,0,11299827,11342081,11234707,11228913,8828163,8768251,7651150,8007110,7317642
1048576,0,0,0,0,11574086,11578017,11735734,11481417,8877055,8617490,8515741,7733783,7413369
