,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,7100397,7100397,7940539,9318832,64000000,,,,,,,,
128,6114306,12842051,8036304,12842051,18012359,41924383,,,,,,,
256,6398720,10245071,9114515,6936061,10651598,17096249,51608070,,,,,,
512,6246213,10434519,10044089,16417355,6246213,11138071,12874162,29906870,,,,,
1024,5813392,7577494,11249091,15027577,8326715,11936907,17402221,13102174,16219316,,,,
2048,5785224,9853037,8608824,6990474,10889797,11835033,9944290,10192069,11770166,7529708,,,
4096,6131713,6955959,7047267,6575257,9019223,7629374,9524234,9503161,8426437,9353122,2196407,,
8192,5512724,6989645,7961372,8409538,9172856,8688097,7570215,8696894,6154564,7218727,8334066,2039903,
16384,4241208,7272051,3085491,7440550,8307675,7695517,6875519,3564139,3647374,8115381,3594527,6313339,6511962
32768,0,0,0,0,8664227,9109877,9405377,9194590,5200543,8064811,7890262,6536368,6977728
65536,0,0,0,0,9295898,9172440,10063698,9407890,8490225,3541154,6231956,5242479,7079591
131072,0,0,0,0,9656052,8231626,4980312,10194670,8975633,5953487,8862197,8275241,7096479
262144,0,0,0,0,10574585,10950895,10681838,10549119,8424678,8890488,8549471,8091378,7862538
524288,0,0,0,0,11363767,12070620,12260059,11351390,9486816,9370951,8761649,8907984,8177184
1048576,0,0,0,0,234537,300919,321399,535555,631657,554953,765667,808389,832811
