,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,429630,1460430,889431,598110,1049372,,,,,,,,
128,1319723,1710838,847059,2132084,1878447,2175277,,,,,,,
256,1376935,1985448,2613746,2170027,2747508,2975955,2975955,,,,,,
512,1795846,2275345,2572435,2926501,2975154,2370799,2613128,2597325,,,,,
1024,1741810,2672984,2852271,3495237,2484355,3821805,3655895,3709575,2311849,,,,
2048,1712573,2774700,3396834,3304067,3423913,4046500,4048407,4104506,2960203,1732608,,,
4096,1882352,2822940,2844440,3489144,3980686,3881749,3744681,4171080,3382659,3984379,483588,,
8192,2039298,1864357,3293747,4000060,3913942,4309076,4331893,2196239,3975070,3995873,2789210,3073925,
16384,1833506,2436272,2800212,3619137,4041417,4046653,4411370,2488861,4031459,3945131,3798795,2948852,909820
32768,0,0,0,0,2464132,1568672,3026502,3462740,2032765,1572063,3378139,2967302,1470866
65536,0,0,0,0,3347238,2319629,2112222,2998532,3867118,2276972,2097219,1917880,1762435
131072,0,0,0,0,2566508,1990427,2590257,2391045,3516168,2595945,2046945,2138654,1995065
262144,0,0,0,0,1374180,1514153,1350728,1361403,1297356,1318751,1682180,1248744,636664
524288,0,0,0,0,791043,981213,896336,251618,939804,397277,144217,870321,207128
1048576,0,0,0,0,106413,278729,797059,68454,777383,758934,740472,57106,744233
