,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,334788,929467,1484662,43564,725882,,,,,,,,
128,628061,1504659,1155043,978253,1349580,1911894,,,,,,,
256,1023775,1704877,1743637,1981783,204607,1718521,44116,,,,,,
512,1289930,2207515,2975154,2317080,3140488,2782414,225841,1766304,,,,,
1024,1387350,2625597,3029305,2767722,3908759,3066069,2064088,3821805,1855433,,,,
2048,1384623,2559723,2547576,3025897,3189957,4358590,2509617,3717289,4112366,385323,,,
4096,1571261,2773270,3100608,3531460,3686029,3896717,4248440,3806915,1169907,3237937,1713735,,
8192,1601195,2804463,3276785,3811901,4065372,1989238,4207243,3701837,4059608,4177574,2267998,1809568,
16384,732774,1949278,3396438,2561215,3331400,2636991,3890631,2114653,4020609,1789811,2943042,2046452,823354
32768,0,0,0,0,1171659,3822228,3822228,1608869,3819997,3880614,3023174,2723191,1942166
65536,0,0,0,0,2064782,2050183,3780323,1479502,1858327,2043644,1373573,1478571,1569728
131072,0,0,0,0,1629375,2567119,2455825,2623171,2651830,2492242,2344966,2246039,2148509
262144,0,0,0,0,1182367,484162,1554550,1855218,1869613,1934983,2118899,630745,1513691
524288,0,0,0,0,1139486,204361,138582,1279100,1279806,215343,1268669,1184069,776788
1048576,0,0,0,0,94704,553442,1104278,944495,86164,1219779,1147404,740693,1107326
