,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,913649,1285575,444572,1330167,1143223,,,,,,,,
128,876086,1421023,1306873,1065630,1663139,1346196,,,,,,,
256,1561112,2000242,2285501,2435861,1894373,2509882,2030503,,,,,,
512,1336492,2189509,1764853,3196584,3220553,3510074,3504346,1640796,,,,,
1024,1497127,2343383,2944166,3314514,3631168,3553066,3121783,3377062,2311849,,,,
2048,1713940,2676988,3084572,3225896,3396834,3779440,3500658,2560486,3384788,2836079,,,
4096,1888560,2694963,3287506,3489144,3192806,3217923,3733288,3856480,3537277,2607037,2369047,,
8192,1761694,2801490,3343751,3423373,3915726,4019714,3726731,3667070,3489075,2245029,883538,756909,
16384,1213807,753628,3175311,1384613,3930014,3966078,3376081,3757050,3271607,1851538,1996567,3088403,1130239
32768,0,0,0,0,3274554,2409949,2521177,3766915,3520392,2139034,1512848,3400539,3229313
65536,0,0,0,0,1927468,2347100,2271759,2103606,2690428,2001881,1983120,1890068,1595902
131072,0,0,0,0,1511265,2169031,1332599,1908835,1878063,1455998,2105264,1837107,1446821
262144,0,0,0,0,1090095,1172950,760516,1039239,1128786,1167850,1030497,1026976,289589
524288,0,0,0,0,753670,878856,180998,613958,866093,49841,180448,153024,789774
1048576,0,0,0,0,293155,377589,602002,724560,59929,88913,700845,59602,60851
