,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,460591,1101022,983980,541412,557144,,,,,,,,
128,744820,1440082,1802755,1543594,1165070,2132084,,,,,,,
256,1487577,1952947,2533571,2639446,2872459,1718521,2665657,,,,,,
512,1542947,2246778,2381315,2926501,2891043,3366987,3012719,3122224,,,,,
1024,1799462,2182617,2968586,2753527,3358576,3495237,3579719,2852271,2592318,,,,
2048,1929972,2519185,3089009,3006831,3126106,2311728,3841986,3476572,3224685,2083011,,,
4096,1876390,2627371,3052133,3413576,3421735,3871253,3316701,3736536,3676563,3740604,1747554,,
8192,1669422,2700853,3231483,3571028,3855097,3322090,3722290,3011685,3797996,3019626,3262473,1897195,
16384,1607856,2368346,2238287,3541728,1266349,3332692,3568766,1311470,3557865,1887596,3206873,919941,2393255
32768,0,0,0,0,3470434,4026476,3909757,3683919,1600233,3837489,2202448,3113366,2510217
65536,0,0,0,0,2098964,3074772,3760566,3416168,2002741,2320843,1954259,1855755,1829241
131072,0,0,0,0,2224229,1682956,2128239,1978472,2413360,2336892,2315757,1777799,1399472
262144,0,0,0,0,1134739,1169039,1080841,171680,263497,880972,890292,1163516,1055300
524288,0,0,0,0,39998,149971,828893,838111,184704,159872,579430,767887,781292
1048576,0,0,0,0,338419,736864,662084,70298,102373,112161,79484,502927,697291
