,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,983980,1049372,633392,10110,477808,,,,,,,,
128,927549,1451764,1391557,59986,1727352,1521718,,,,,,,
256,1158540,1814348,2607399,2872459,865358,2266207,2413957,,,,,,
512,922535,2275345,643960,2958758,1861217,927315,3510074,1337324,,,,,
1024,1506051,1995982,2934110,2910252,2598591,3529706,2111788,3603747,1189146,,,,
2048,1642181,2185842,2642401,3070239,3792790,1706449,4056054,706943,3402216,1930406,,,
4096,1507031,2340643,717328,3567392,3421735,3598778,2418063,4067390,1140624,2399488,336097,,
8192,1718089,2190359,1765223,2658022,3813593,3241544,4246763,3899284,1607262,3957216,2826611,1247457,
16384,1436689,2598993,2497545,3086600,2920032,4230243,3444100,932917,1202844,3220097,1295376,1875899,791199
32768,0,0,0,0,1841313,4083783,2669038,3553248,1506579,1502002,3345005,2269249,1527425
65536,0,0,0,0,1786652,2308350,2574587,2139813,1910230,1826275,2201633,1521261,1756668
131072,0,0,0,0,1578063,1808616,2195363,1742309,1578153,2209089,1726019,1722795,1685577
262144,0,0,0,0,1029950,909205,1159611,1084184,998635,1074268,413872,993560,993895
524288,0,0,0,0,803448,204346,849138,819585,48304,817794,754704,512722,47594
1048576,0,0,0,0,691655,66325,63401,700226,708581,146657,223280,680932,451489
