,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384
64,5735102,10821524,15972885,12902017,64000000,,,,,,,,
128,6727225,4934216,7476717,9795896,11720614,41924383,,,,,,,
256,6398720,6719046,8024634,7314033,12812277,19591792,37275329,,,,,,
512,8140399,10235583,12499490,7988981,9638369,19557124,15471149,29906870,,,,,
1024,5958564,6402699,8457895,8199542,13472053,15295157,6244448,15295157,20088179,,,,
2048,6058611,8977721,8713618,8866519,7106133,9179186,9567698,12187663,12729493,12416686,,,
4096,6272759,7489679,8393502,8328399,7473388,8660056,9846293,11035332,10036109,9222577,8514134,,
8192,5805180,6244039,7825383,8515834,7968758,8015231,9071145,8819674,8086916,9030615,8192973,8532752,
16384,6049885,6515049,6792606,7927213,9183651,9067322,7645006,6595715,8290636,8350072,7922644,7043957,7262061
32768,0,0,0,0,8700977,9813699,10317615,8799018,8196108,8902175,8790014,7243233,6894075
65536,0,0,0,0,10462449,10882458,10208337,9315745,8840562,8785183,7372779,7887275,8292491
131072,0,0,0,0,10688400,10783372,10566983,10274502,8707374,7515581,7688375,8994871,6503230
262144,0,0,0,0,10056557,10693682,11048390,9623497,4290897,4262089,8098649,7608771,7104587
524288,0,0,0,0,12203249,11700242,11524082,11492223,9145913,7964162,8553654,7994767,7736860
1048576,0,0,0,0,10620201,11075418,10903910,11021960,9065860,8653248,8279520,7936122,7575435
